,0,1
Mag Mar Tun Doh Weg,[],['Mance Rayder']
ro:Baelor,[],[]
es:Libro del Desconocido,[],[]
Bobby Asghar,[],[]
The Queen's Justice,[],[]
Fionn Kernan,[],[]
Elie Haddad,[],[]
Game of Thrones musical themes and motifs#Tyrion's theme,[],[]
Nagga,[],[]
pl:Smok i Wilk,[],[]
Rea Separovic,[],[]
Alannys Greyjoy,"['House Harlaw', 'House Greyjoy']",[]
Stephen Dillane,[],[]
Slave (Breaker of Chains),[],['Great Masters']
File:Blood of My Blood 21.jpg,[],[]
Janos Slynt,['House Slynt'],"[""City Watch of King's Landing"", ""Night's Watch""]"
Viserys I Targaryen,['House Targaryen/House of the Dragon'],[]
Roose Bolton#In the books,[],[]
Wuese Houston-Jibo,[],[]
House of the Dragon: Season 1,[],[]
Dermot Ward,[],[]
bloodrider,[],[]
es:Besado por el fuego,[],[]
Common Tongue#Regional accents,[],[]
Kate Anthony,[],[]
Sophia Smith,[],[]
Winterfell (episode),[],[]
Aerion Targaryen,['House Targaryen'],[]
fr:Bataille des Bâtards,[],[]
Smitty,[],"[""Night's Watch""]"
Costumes/Seven Kingdoms#The Reach,[],[]
Yuri Kolokolnikov,[],[]
File:704 Battle of Tumbleton 9.png,[],[]
House words,[],[]
John Street,[],[]
Kinvara#In the books,[],[]
de:Alte und neue Götter (Episode),[],[]
ja:シーズン5第2話「黒と白の館」,[],[]
Jozsef Fodor,[],[]
Florian Robin,[],[]
Prendahl na Ghezn,[],['Second Sons']
File:Ice reforged.png,[],[]
File:Tommens-Coronation.jpg,[],[]
Jody Halse,[],[]
White Walker ice blade,[],[]
Aggar,[],['House Greyjoy']
Othman Ilyassa,[],[]
Philip O'Sullivan,[],[]
Game of Thrones musical themes and motifs#Conspiracy theme,[],[]
Olly,[],"[""Night's Watch""]"
Simon Lowe,[],[]
Daenerys Targaryen (daughter of Aegon IV),"['House Targaryen', 'House Martell']",[]
Andy Kellegher,[],[]
File:Burn_Sucker_BURN!.jpg,[],[]
Forbes KB,[],[]
The Rains of Castamere,[],[]
Daario Naharis,[],"['Second Sons', 'House Targaryen']"
ru:Дети,[],[]
es:Matad al chico,[],[]
Lord of Castamere,[],[]
Roman Beguns,[],[]
Prince of Dorne (Last War),['House Martell'],['House Targaryen']
wikipedia:Mediterranean climate,[],[]
Julian Firth,[],[]
File:Missandei Chained S8 Ep4.jpg,[],[]
Game of Thrones: Season 4 (Music from the HBO Series),[],[]
Josef Altin,[],[]
Gerald Lepkowski,[],[]
Henk,[],['House Stark']
Tommy Dunne,[],[]
Salladhor Saan,[],['House Baratheon of Dragonstone']
Aldo Toncic,[],[]
Pilou Asbæk,[],[]
Alfie Allen,[],[]
Ironborn,[],[]
zh:TV:第四季第五集,[],[]
Leadranach,[],['House Stark']
pt-br:O Leão e a Rosa,[],[]
Leona McCarron,[],[]
Blood of My Blood,[],[]
Reyne-Tarbeck revolt,[],[]
Eyrie,[],[]
File:Dragonglass.jpg,[],[]
Karen Smithson,[],[]
Elmo Walker,[],[]
Alice Nokes,[],[]
File:Daenerys 1x03.png,[],[]
Walk of atonement,[],[]
Winterfell shepherd,[],['House Stark']
Justin Pearson,[],[]
File:Drogo 1x08.jpg,[],[]
de:The Spoils of War (Episode),[],[]
fr:L'hiver vient,[],[]
zh:TV:第四季第二集,[],[]
ru:Гора и Змей,[],[]
Pat Mooney,[],[]
Game of Thrones musical themes and motifs#Sandor's theme,[],[]
Irene Kelleher,[],[]
David Rintoul,[],[]
Pablo Verdejo,[],[]
Tower of the Hand,[],[]
Second trial by combat of Tyrion Lannister,[],[]
Jan Petrina,[],[]
Eugene Simon,[],[]
Kirsty Nicholls,[],[]
War of the Ninepenny Kings,[],[]
Jaqen H'ghar#In the books,[],[]
Finn Watson,[],[]
Septon,[],[]
Maria Hippolyte,[],[]
zh:TV:第六季第六集,[],[]
file:Walk to Dragonstone TQJ.jpg,[],[]
Battle of the Camps,[],[]
Mantarys,[],[]
Sexposition,[],[]
File:Unsullied_Sack_of_Astapor_S3E4.jpg,[],[]
The Gift,[],[]
Giants,[],[]
Ricky Champ,[],[]
Cave people,[],[]
ja:シーズン4第5話「新王誕生」,[],[]
File:Dany and Jorah Eastwatch.jpg,[],[]
Daznak's Pit,[],[]
Kingsguard#Rival Kingsguard,[],[]
Obara Sand,[],['House Martell']
Joseph Gatt,[],[]
Aegon IV Targaryen,['House Targaryen'],[]
File:Drogon_snarls_at_his_mom.jpg,[],[]
Harald Karstark,['House Karstark'],['House Bolton']
Yezzan zo Qaggaz,['House of Qaggaz'],"['Wise Masters', 'Good Masters']"
Category:Episodes of Game of Thrones: Season 7,[],[]
"ru:Непреклонные, несгибаемые, несдающиеся",[],[]
"Joss (Unbowed, Unbent, Unbroken)",[],[]
Bloody Gate,[],[]
Stark guard (The Pointy End),[],['House Stark']
trial by combat,[],[]
Clifford Barry,[],[]
capture of Winterfell,[],[]
Mercenary#Sellsword companies,[],[]
pt-br:A Dança dos Dragões,[],[]
Danny O'Connor,[],[]
Angel Gomez,[],[]
pl:Łupy wojenne,[],[]
Leo Lefford,['House Lefford'],['House Lannister']
Myranda,[],['House Bolton']
File:Battle of Winterfell 1.png,[],[]
File:Margaery_dragged_away.jpg,[],[]
ja:シーズン3第6話「登壁」,[],[]
Joshua Sher,[],[]
House Serrett,[],[]
File:S04E09 - Pypar's death.png,[],[]
Wikipedia:Day for night,[],[]
de:Die Lange Nacht (Episode),[],[]
kingsmoot on Old Wyk,[],[]
Steelshanks,[],['House Bolton']
Mighdal,[],['Great Masters']
Stewart James,[],[]
Tomás Ordóñez,[],[]
House Martell,[],[]
Greyjoy Rebellion,[],[]
File:502 facemask.png,[],[]
Stella McCusker,[],[]
Kingsmoot on Old Wyk,[],[]
Talla Tarly,['House Tarly'],"[""Bronn's house""]"
fr:Mhysa,[],[]
File:Sansa Arya Bran TSOW.jpg,[],[]
Wren Ros Elliot-Sloan,[],[]
Riverrun,[],[]
Game of Thrones musical themes and motifs#Night's Watch theme,[],[]
Bryan McCaugherty,[],[]
fr:Promenade des Châtiments,[],[]
Assassinations in the Tower of the Hand,[],[]
The Nations of the North,[],[]
Slavery,[],[]
File:Mother’s Mercy 03.jpg,[],[]
Balazs Lengyel,[],[]
Raül Tortosa,[],[]
Cohollo,[],['Drogo']
lt:Winterfell,[],[]
Drowned Men,[],[]
ro:Legile zeilor și oamenilor,[],[]
Cole Armitage,[],[]
File:Ros1.jpg,[],[]
Brian Patrick Kennedy,[],[]
Old Way,[],[]
Costumes/Seven Kingdoms#Dorne,[],[]
A Song of Ice and Fire,[],[]
Baelor,[],[]
pl:Czerwona kobieta,[],[]
Unsullied (Valar Dohaeris),[],"['Unsullied', 'House Targaryen']"
Stark messenger,[],['House Stark']
Dominic Preece,[],[]
Craster's wives,[],[]
File:Daernerys vision Iron Thrones 2x10.jpg,[],[]
Tormund,[],"['Mance Rayder', 'Jon Snow']"
Wildfire plot,[],[]
Ruairí Heading,[],[]
Image:Wildling territories.PNG,[],[]
Tarth,[],[]
Farlen,[],['House Stark']
Skirmish at the Tower of Joy,[],[]
Escan,[],"[""Night's Watch""]"
Dornishmen,[],[]
catspaw,[],[]
Costumes/Seven Kingdoms,[],[]
:File:Bronn_and_Lollys.jpg,[],[]
Lord of the Dreadfort,[],[]
Fire & Blood,[],[]
Borba,[],"[""Night's Watch""]"
Rast,[],"[""Night's Watch"", 'Mutineers']"
Sarah Lochlan,[],[]
Roger Ashton-Griffiths,[],[]
Isaac Hempstead-Wright,[],[]
Game of Thrones: Season 2 (Music from the HBO Series),[],[]
Michael Redmond,[],[]
Great Hall,[],[]
Battle in Yunkai,[],[]
House Frey,[],[]
guest right,[],[]
File:S04E5 - Craster's Keep on fire.png,[],[]
pl:Pierwszy tego imienia,[],[]
File:daeneryskhalasargaze.jpeg,[],[]
Lem,[],['Brotherhood Without Banners']
High Sparrow,[],"['Sparrows', 'Faith Militant']"
Mark Archer,[],[]
Bronte Carmichael,[],[]
Category:Episodes written by Bryan Cogman,[],[]
