,Unnamed: 0,Person,SeasonNr,EpisodeID,EpisodeTitle,Scene,ScreenLine,scene_locations
0,0,waymar royce,1,1,winter is coming,Unnamed Scene,"What d'you expect? They're savages. One lot steals a goat from another lot and before you know it, they're ripping each other to pieces.",
1,1,will,1,1,winter is coming,Unnamed Scene,"I've never seen wildlings do a thing like this. I've never seen a thing like this, not ever in my life.",
2,2,waymar royce,1,1,winter is coming,Unnamed Scene,How close did you get?,
3,3,will,1,1,winter is coming,Unnamed Scene,Close as any man would.,
4,4,gared,1,1,winter is coming,Unnamed Scene,We should head back to the wall.,
5,5,yohn royce,1,1,winter is coming,Unnamed Scene,Do the dead frighten you?,
6,6,gared,1,1,winter is coming,Unnamed Scene,Our orders were to track the wildlings. We tracked them. They won't trouble us no more.,
7,7,yohn royce,1,1,winter is coming,Unnamed Scene,You don't think he'll ask us how they died? Get back on your horse.,
8,8,will,1,1,winter is coming,Unnamed Scene,Whatever did it to them could do it to us. They even killed the children.,
9,9,yohn royce,1,1,winter is coming,Unnamed Scene,"It's a good thing we're not children. You want to run away south, run away. Of course, they will behead you as a deserter ... If I don't catch you first. Get back on your horse. I won't say it again.",
10,10,yohn royce,1,1,winter is coming,Unnamed Scene,Your dead men seem to have moved camp.,
11,11,will,1,1,winter is coming,Unnamed Scene,They were here.,
12,12,gared,1,1,winter is coming,Unnamed Scene,See where they went.,
13,13,yohn royce,1,1,winter is coming,Unnamed Scene,What is it?,
14,14,gared,1,1,winter is coming,Unnamed Scene,It's ...,
15,15,jon snow,1,1,winter is coming,Unnamed Scene_1,Go on. Father's watching.,
16,16,jon snow,1,1,winter is coming,Unnamed Scene_1,And your mother.,
17,17,mordane,1,1,winter is coming,Unnamed Scene_1,"Fine work, as always. Well done.",
18,18,sansa stark,1,1,winter is coming,Unnamed Scene_1,Thank you.,
19,19,mordane,1,1,winter is coming,Unnamed Scene_1,I love the detail that you've managed to get in this corners. ... Quite beautiful ... the stitching ...,
20,20,eddard stark,1,1,winter is coming,Unnamed Scene_1,"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.",
21,21,jon snow,1,1,winter is coming,Unnamed Scene_1,"Don't think too much, Bran.",
22,22,robb stark,1,1,winter is coming,Unnamed Scene_1,Relax your bow arm.,
23,24,rodrik cassel,1,1,winter is coming,Unnamed Scene_1,Lord Stark. My lady. A guardsman just rode in from the hills. They've captured a deserter from the Night's Watch.,
24,25,eddard stark,1,1,winter is coming,Unnamed Scene_1,Get the lads to saddle their horses.,
25,26,catelyn stark,1,1,winter is coming,Unnamed Scene_1,Do you have to?,
26,27,eddard stark,1,1,winter is coming,Unnamed Scene_1,"He swore an oath, Cat.",
27,28,rodrik cassel,1,1,winter is coming,Unnamed Scene_1,"The law is law, my lady.",
28,29,eddard stark,1,1,winter is coming,Unnamed Scene_1,"Tell Bran he's coming, too.",
29,30,catelyn stark,1,1,winter is coming,Unnamed Scene_1,Ned. Ten is too young to see such things.,
30,31,eddard stark,1,1,winter is coming,Unnamed Scene_1,He won't be a boy forever. And winter is coming.,
31,32,robb stark,1,1,winter is coming,Unnamed Scene_1,"Lad, go run back and get the rest.",
32,33,will,1,1,winter is coming,Unnamed Scene_2,"White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.",
33,34,will,1,1,winter is coming,Unnamed Scene_2,"I know I broke my oath. And I know I'm a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I'm no coward. Tell them I'm sorry.",
34,35,will,1,1,winter is coming,Unnamed Scene_2,"Forgive me, lord.",
35,36,eddard stark,1,1,winter is coming,Unnamed Scene_2,"In the name of Robert of the House Baratheon, first of his name ...",
36,37,jon snow,1,1,winter is coming,Unnamed Scene_2,Don't look away.,
37,38,eddard stark,1,1,winter is coming,Unnamed Scene_2,King of the Andals and the First Men ...,
38,39,jon snow,1,1,winter is coming,Unnamed Scene_2,Father will know if you do.,
39,40,eddard stark,1,1,winter is coming,Unnamed Scene_2,"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",
40,41,jon snow,1,1,winter is coming,Unnamed Scene_2,You did well.,
41,42,eddard stark,1,1,winter is coming,Unnamed Scene_2,You understand why I did it?,
42,43,bran stark,1,1,winter is coming,Unnamed Scene_2,Jon said he was a deserter.,
43,44,eddard stark,1,1,winter is coming,Unnamed Scene_2,But do you understand why I had to kill him?,
44,45,bran stark,1,1,winter is coming,Unnamed Scene_2,Our way is the old way?,
45,46,eddard stark,1,1,winter is coming,Unnamed Scene_2,The man who passes the sentence should swing the sword.,
46,47,bran stark,1,1,winter is coming,Unnamed Scene_2,Is it true he saw the White Walkers?,
47,48,eddard stark,1,1,winter is coming,Unnamed Scene_2,The White Walkers have been gone for thousands of years.,
48,49,bran stark,1,1,winter is coming,Unnamed Scene_2,So he was lying?,
49,50,eddard stark,1,1,winter is coming,Unnamed Scene_2,A madman sees what he sees.,
50,51,jon snow,1,1,winter is coming,Unnamed Scene_2,What is it?,
51,52,theon greyjoy,1,1,winter is coming,Unnamed Scene_2,Mountain lion?,
52,53,eddard stark,1,1,winter is coming,Unnamed Scene_2,There are no mountain lions in these woods.,
53,54,theon greyjoy,1,1,winter is coming,Unnamed Scene_2,It's a freak.,
54,55,eddard stark,1,1,winter is coming,Unnamed Scene_2,It's a direwolf.,
55,56,eddard stark,1,1,winter is coming,Unnamed Scene_2,Tough old beast.,
56,57,robb stark,1,1,winter is coming,Unnamed Scene_2,There are no direwolves south of the Wall.,
