,Person,SeasonNr,EpisodeID,EpisodeTitle,Scene,ScreenLine
0,WAYMAR ROYCE,1,1,winter is coming,Unnamed Scene," What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces."
1,WILL,1,1,winter is coming,Unnamed Scene," I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life."
2,WAYMAR ROYCE,1,1,winter is coming,Unnamed Scene, How close did you get?
3,WILL,1,1,winter is coming,Unnamed Scene, Close as any man would.
4,GARED,1,1,winter is coming,Unnamed Scene, We should head back to the wall.
5,ROYCE,1,1,winter is coming,Unnamed Scene, Do the dead frighten you?
6,GARED,1,1,winter is coming,Unnamed Scene, Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.
7,ROYCE,1,1,winter is coming,Unnamed Scene, You don’t think he’ll ask us how they died? Get back on your horse.
8,WILL,1,1,winter is coming,Unnamed Scene, Whatever did it to them could do it to us. They even killed the children.
9,ROYCE,1,1,winter is coming,Unnamed Scene," It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again."
10,ROYCE,1,1,winter is coming,Unnamed Scene, Your dead men seem to have moved camp.
11,WILL,1,1,winter is coming,Unnamed Scene, They were here.
12,GARED,1,1,winter is coming,Unnamed Scene, See where they went.
13,ROYCE,1,1,winter is coming,Unnamed Scene, What is it?
14,GARED,1,1,winter is coming,Unnamed Scene, It’s …
15,JON,1,1,winter is coming,Unnamed Scene_2, Go on. Father’s watching.
16,JON,1,1,winter is coming,Unnamed Scene_2, And your mother.
17,SEPTA MORDANE,1,1,winter is coming,Unnamed Scene_3," Fine work, as always. Well done."
18,SANSA,1,1,winter is coming,Unnamed Scene_3, Thank you.
19,SEPTA MORDANE,1,1,winter is coming,Unnamed Scene_3, I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …
20,NED,1,1,winter is coming,Unnamed Scene_3," And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,JON,1,1,winter is coming,Unnamed Scene_3," Don’t think too much, Bran."
22,ROBB,1,1,winter is coming,Unnamed Scene_3, Relax your bow arm.
23,JON/ROBB,1,1,winter is coming,Unnamed Scene_3," Quick, Bran, faster!"
24,CASSEL,1,1,winter is coming,Unnamed Scene_3, Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.
25,NED,1,1,winter is coming,Unnamed Scene_3, Get the lads to saddle their horses.
26,CATELYN,1,1,winter is coming,Unnamed Scene_3, Do you have to?
27,NED,1,1,winter is coming,Unnamed Scene_3," He swore an oath, Cat."
28,CASSEL,1,1,winter is coming,Unnamed Scene_3," The law is law, my lady."
29,NED,1,1,winter is coming,Unnamed Scene_3," Tell Bran he’s coming, too."
30,CATELYN,1,1,winter is coming,Unnamed Scene_3, Ned. Ten is too young to see such things.
31,NED,1,1,winter is coming,Unnamed Scene_3, He won’t be a boy forever. And winter is coming.
32,ROBB,1,1,winter is coming,Unnamed Scene_3," Lad, go run back and get the rest."
33,WILL,1,1,winter is coming,Unnamed Scene_4," White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
34,WILL,1,1,winter is coming,Unnamed Scene_4," I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry."
35,WILL,1,1,winter is coming,Unnamed Scene_4," Forgive me, lord."
36,NED,1,1,winter is coming,Unnamed Scene_4," In the name of Robert of the House Baratheon, first of his name …"
37,JON,1,1,winter is coming,Unnamed Scene_4, Don’t look away.
38,NED,1,1,winter is coming,Unnamed Scene_4, King of the Andals and the First Men …
39,JON,1,1,winter is coming,Unnamed Scene_4, Father will know if you do.
40,NED,1,1,winter is coming,Unnamed Scene_4," Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die."
41,JON,1,1,winter is coming,Unnamed Scene_4, You did well.
42,NED,1,1,winter is coming,Unnamed Scene_4, You understand why I did it?
43,BRAN,1,1,winter is coming,Unnamed Scene_4, Jon said he was a deserter.
44,NED,1,1,winter is coming,Unnamed Scene_4, But do you understand why I had to kill him?
45,BRAN,1,1,winter is coming,Unnamed Scene_4, Our way is the old way?
46,NED,1,1,winter is coming,Unnamed Scene_4, The man who passes the sentence should swing the sword.
47,BRAN,1,1,winter is coming,Unnamed Scene_4, Is it true he saw the White Walkers?
48,NED,1,1,winter is coming,Unnamed Scene_4, The White Walkers have been gone for thousands of years.
49,BRAN,1,1,winter is coming,Unnamed Scene_4, So he was lying?
50,NED,1,1,winter is coming,Unnamed Scene_4, A madman sees what he sees.
51,JON,1,1,winter is coming,Unnamed Scene_5, What is it?
52,THEON,1,1,winter is coming,Unnamed Scene_5, Mountain lion?
53,NED,1,1,winter is coming,Unnamed Scene_5, There are no mountain lions in these woods.
54,THEON,1,1,winter is coming,Unnamed Scene_5, It’s a freak.
55,NED,1,1,winter is coming,Unnamed Scene_5, It’s a direwolf.
56,NED,1,1,winter is coming,Unnamed Scene_5, Tough old beast.
57,ROBB,1,1,winter is coming,Unnamed Scene_5, There are no direwolves south of the Wall.
58,JON,1,1,winter is coming,Unnamed Scene_5, Now there are five.
59,JON,1,1,winter is coming,Unnamed Scene_5, You want to hold it?
60,BRAN,1,1,winter is coming,Unnamed Scene_5, Where will they go? Their mother’s dead.
61,CASSEL,1,1,winter is coming,Unnamed Scene_5, They don’t belong down here.
62,NED,1,1,winter is coming,Unnamed Scene_5, Better a quick death. They won’t last without their mother.
63,THEON,1,1,winter is coming,Unnamed Scene_5, Right. Give it here.
64,BRAN,1,1,winter is coming,Unnamed Scene_5, NO!
65,ROBB,1,1,winter is coming,Unnamed Scene_5, Put away your blade.
66,THEON,1,1,winter is coming,Unnamed Scene_5," I take orders from your father, not you."
67,BRAN,1,1,winter is coming,Unnamed Scene_5," Please, father!"
68,NED,1,1,winter is coming,Unnamed Scene_5," I’m sorry, Bran."
69,JON,1,1,winter is coming,Unnamed Scene_5, Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
70,NED,1,1,winter is coming,Unnamed Scene_5," You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves."
71,BRAN,1,1,winter is coming,Unnamed Scene_5, What about you?
72,JON,1,1,winter is coming,Unnamed Scene_5, I’m not a Stark. Get on.
73,ROBB,1,1,winter is coming,Unnamed Scene_5, What is it?
