,Person,SeasonNr,EpisodeID,EpisodeTitle,Scene,ScreenLine
0,WAYMAR ROYCE,1,1,winter is coming,Opening Scene," What d’you expect? They’re savages. One lot steals a goat from another lot and before you know it, they’re ripping each other to pieces."
1,WILL,1,1,winter is coming,Opening Scene," I’ve never seen wildlings do a thing like this. I’ve never seen a thing like this, not ever in my life."
2,WAYMAR ROYCE,1,1,winter is coming,Opening Scene, How close did you get?
3,WILL,1,1,winter is coming,Opening Scene, Close as any man would.
4,GARED,1,1,winter is coming,Opening Scene, We should head back to the wall.
5,ROYCE,1,1,winter is coming,Opening Scene, Do the dead frighten you?
6,GARED,1,1,winter is coming,Opening Scene, Our orders were to track the wildlings. We tracked them. They won’t trouble us no more.
7,ROYCE,1,1,winter is coming,Opening Scene, You don’t think he’ll ask us how they died? Get back on your horse.
8,WILL,1,1,winter is coming,Opening Scene, Whatever did it to them could do it to us. They even killed the children.
9,ROYCE,1,1,winter is coming,Opening Scene," It’s a good thing we’re not children. You want to run away south, run away. Of course, they will behead you as a deserter … If I don’t catch you first. Get back on your horse. I won’t say it again."
10,ROYCE,1,1,winter is coming,Opening Scene, Your dead men seem to have moved camp.
11,WILL,1,1,winter is coming,Opening Scene, They were here.
12,GARED,1,1,winter is coming,Opening Scene, See where they went.
13,ROYCE,1,1,winter is coming,Opening Scene, What is it?
14,GARED,1,1,winter is coming,Opening Scene, It’s …
15,JON,1,1,winter is coming,Opening Scene, Go on. Father’s watching.
16,JON,1,1,winter is coming,Opening Scene, And your mother.
17,SEPTA MORDANE,1,1,winter is coming,Opening Scene," Fine work, as always. Well done."
18,SANSA,1,1,winter is coming,Opening Scene, Thank you.
19,SEPTA MORDANE,1,1,winter is coming,Opening Scene, I love the detail that you’ve managed to get in this corners. … Quite beautiful … the stitching …
20,NED,1,1,winter is coming,Opening Scene," And which one of you was a marksman at ten? Keep practicing, Bran. Go on."
21,JON,1,1,winter is coming,Opening Scene," Don’t think too much, Bran."
22,ROBB,1,1,winter is coming,Opening Scene, Relax your bow arm.
23,JON/ROBB,1,1,winter is coming,Opening Scene," Quick, Bran, faster!"
24,CASSEL,1,1,winter is coming,Opening Scene, Lord Stark. My lady. A guardsman just rode in from the hills. They’ve captured a deserter from the Night’s Watch.
25,NED,1,1,winter is coming,Opening Scene, Get the lads to saddle their horses.
26,CATELYN,1,1,winter is coming,Opening Scene, Do you have to?
27,NED,1,1,winter is coming,Opening Scene," He swore an oath, Cat."
28,CASSEL,1,1,winter is coming,Opening Scene," The law is law, my lady."
29,NED,1,1,winter is coming,Opening Scene," Tell Bran he’s coming, too."
30,CATELYN,1,1,winter is coming,Opening Scene, Ned. Ten is too young to see such things.
31,NED,1,1,winter is coming,Opening Scene, He won’t be a boy forever. And winter is coming.
32,ROBB,1,1,winter is coming,Opening Scene," Lad, go run back and get the rest."
33,WILL,1,1,winter is coming,Opening Scene," White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them."
34,WILL,1,1,winter is coming,Opening Scene," I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry."
35,WILL,1,1,winter is coming,Opening Scene," Forgive me, lord."
36,NED,1,1,winter is coming,Opening Scene," In the name of Robert of the House Baratheon, first of his name …"
